task_id,purchase_number,title,amount_rub,rule_category,anomaly_flags,llm_category,category_confidence,single_supplier_signal,unsupported_inference_terms,needs_manual_review,observation,interpretation,significance,limitation
purchase-53266154,53266154,Спортивный инвентарь,497701.19,other,same_subject_price_jump,Закупка спортивного инвентаря с флагом аномалии 'same_subject_price_jump',0.95,,,0,"В документе указана закупка спортивного инвентаря у ПАО Сбербанк России на сумму 497 701,19 руб. от 29 декабря 2025 года. В поле anomaly_flags присутствует флаг 'same_subject_price_jump'.","Наличие флага 'same_subject_price_jump' является сигналом о потенциальном риске в ценообразовании или изменении объема закупки, требующим проверки истории закупок данного субъекта для подтверждения обоснованности цены.",Подтверждение этого риска может повлиять на оценку эффективности расходования средств и необходимость проведения дополнительного анализа рыночных цен.,"Отсутствуют данные о предыдущих закупках, исторических ценах или спецификациях товара для сравнения; факт аномалии является лишь предварительным указанием системы."
purchase-31312397,31312397,Спортивный инвентарь,95000.0,other,same_subject_price_jump,Закупка спортивного инвентаря с флагом аномалии по цене/субъекту,0.85,,единственного поставщика|прозрачн,1,"В документе указана закупка спортивного инвентаря у СИБИРСКИЙ БАНК ПАО СБЕРБАНК на сумму 95000 рублей, дата 2025-12-18. Присутствует аномальный флаг same_subject_price_jump.",Флаг требует проверки: возможно изменение цены по сравнению с предыдущими закупками или наличие единственного поставщика без обоснования конкуренции.,"Необходимо подтвердить, что цена соответствует рыночному уровню и процедура была прозрачной.","Отсутствуют данные о предыдущих закупках, исторических ценах на аналогичный инвентарь или количестве поставщиков для сравнения."
purchase-60223025,60223025,Фото и видеооборудование,340638.0,other,cancelled_then_republished,,,,корруп|нарушен|неэффектив,1,В документе указано наличие флага аномалии 'cancelled_then_republished' (отмена и повторная публикация) для закупки фото- и видеооборудования на сумму 340638 рублей у ПАО Сбербанк России. Дата публикации указана как 2025-11-01.,"Флаг 'cancelled_then_republished' является сигналом, требующим проверки подлинности и обоснованности повторной публикации закупки. Необходимо установить причины отмены предыдущей процедуры (например, несоответствие заявок или ошибки в документации) и убедиться, что новая процедура проведена корректно.",Повторная публикация может указывать на необходимость пересмотра условий контракта или изменения требований к поставщику. Это требует внимательного анализа истории изменений закупки для исключения нарушений законодательства о контрактной системе.,"В предоставленных данных отсутствует история предыдущих объявлений, детали отмены и причины повторной публикации. Отсутствие этих фактов не позволяет сделать вывод об наличии коррупционных схем или неэффективных расходов."
purchase-33982455,33982455,Фото и видеооборудование,364560.0,other,cancelled_procedure|cancelled_then_republished,,,,,0,"В документе зафиксированы флаги аномалий: 'cancelled_procedure' (отмененная процедура) и 'cancelled_then_republished' (повторное опубликование после отмены). Сумма закупки составляет 364560.0 руб., предмет — фото и видеооборудование, заказчик — ПАО Сбербанк России.",,,Для формирования вывода о причинах отмены процедуры или наличии рисков требуется доступ к полному тексту извещения с описанием причин отказа и деталями повторного размещения.
purchase-127115094,127115094,Мебель для рекреационных зон,388500.0,other,cancelled_then_republished,Закупка мебели для рекреационных зон с флагом отмены и повторного размещения,0.95,,корруп|нарушен|неэффектив,1,"В документе указана закупка ПАО Сбербанк России на сумму 388 500 рублей по предмету «Мебель для рекреационных зон». В поле anomaly_flags присутствует флаг cancelled_then_republished (отмена и повторное размещение), а категория rule_category имеет значение other. Дата публикации — 2025-07-10.","Наличие флага отмены и последующего повторного размещения указывает на необходимость проверки причин изменения условий закупки или отказа в первоначальном размещении. Это требует дополнительной верификации документов для понимания контекста изменений, однако не подтверждает наличие нарушений, коррупции или неэффективных расходов.",Требуется обязательная проверка подлинности и полноты пакета документации по данной закупке перед принятием решений о участии или анализе эффективности расходования средств. Флаг является сигналом для углубленного аудита процедуры.,"В предоставленных данных отсутствуют информация об исходном поставщике, причинах отмены первой публикации, итоговой цене контракта и условиях повторного размещения. Все выводы ограничены только фактом наличия флага в метаданных уведомления."
purchase-75248139,75248139,Мебель для рекреационных зон,388500.0,other,cancelled_procedure|cancelled_then_republished,Закупка мебели для рекреационных зон с историей отмены процедуры,0.95,,единственного поставщика|неэффектив|сговор,1,"В документе указана закупка ПАО Сбербанк России на сумму 388 500 рублей по предмету «Мебель для рекреационных зон». В поле anomaly_flags присутствуют значения 'cancelled_procedure' и 'cancelled_then_republished', что свидетельствует о том, что процедура была отменена и затем опубликована повторно. Дата закупки указана как 2025-07-09.","Наличие флагов отмены процедуры указывает на необходимость проверки причин их возникновения (например, несоответствие требованиям закона или ошибка в документации). Повторная публикация может свидетельствовать о корректировке условий контракта после устранения выявленных недостатков. Отсутствие данных об участниках и итоговой стоимости не позволяет сделать выводы о наличии единственного поставщика.","Требуется дополнительная верификация документа для подтверждения законности повторной публикации закупки, анализа причин отмены предыдущей процедуры и проверки соответствия новых условий законодательству о контрактной системе. Необходимо убедиться, что процедура не нарушала права участников при первой попытке.","В предоставленных данных отсутствуют информация об участниках закупочного процесса, итоговой цене контракта (если она отличается от начальной), причинах отмены процедуры и результатах повторной публикации. Это ограничивает возможность оценки рисков сговора или неэффективных расходов."
purchase-93118603,93118603,Напольный мольберт,15500.0,other,cancelled_then_republished,Закупка товаров (мольберт),0.95,,,0,"В документе указана закупка напольного мольберта у ПАО Сбербанк России на сумму 15 500 рублей от 2025-07-04. В списке флагов аномалий присутствует запись 'cancelled_then_republished' (отменена, затем опубликована повторно).",Флаг 'cancelled_then_republished' указывает на изменение статуса закупки после её публикации или отмены и повторного размещения. Это требует проверки причин изменения условий.,"Необходимо установить причины перепубликации: была ли ошибка в исходных данных, изменились требования к поставщику или возникли технические сбои при размещении извещения.","В предоставленных данных отсутствуют детали о причинах отмены и повторной публикации, а также информация об участниках закупки после её изменения."
purchase-81215614,81215614,Напольный мольберт,15500.0,other,cancelled_procedure|cancelled_then_republished,Закупка товаров (мольберт),0.95,,нарушен|неэффектив|прозрачн,1,"В документе указана закупка напольного мольберта у ПАО Сбербанк России на сумму 15 500 рублей от 2025-07-04. В поле anomaly_flags присутствуют значения 'cancelled_procedure' и 'cancelled_then_republished', что указывает на факт отмены процедуры с последующим повторным опубликованием.","Наличие флагов, указывающих на отмену и повторное размещение закупки, требует проверки причин таких действий. Это может быть связано с ошибками в техническом задании, изменением рыночных условий или необходимостью пересмотра критериев выбора поставщика.","Повторные публикации могут свидетельствовать о снижении прозрачности процесса при отсутствии четкого обоснования изменений, что требует дополнительного анализа документации для исключения неэффективных расходов или нарушений правил закупок.","В предоставленных данных отсутствуют детали отмены (причины), информация об участниках процедуры и итоговых результатах. Флаги аномалий следует рассматривать как сигналы к проверке, а не как подтвержденные факты нарушения."
purchase-73355679,73355679,Товарно-материальные ценности,136586.0,other,cancelled_procedure,Отмена процедуры закупки (Другое),0.95,,единственного поставщика,1,"В документе указана процедура закупки у ПАО Сбербанк России на сумму 136 586 рублей с предметом «Товарно-материальные ценности», датированная 01.07.2025. В поле anomaly_flags присутствует флаг 'cancelled_procedure', указывающий на отмену процедуры.","Наличие флага 'cancelled_procedure' свидетельствует о том, что процедура закупки была прекращена до завершения или после объявления результатов (в зависимости от контекста полного текста, который отсутствует). Это требует проверки причин отмены и статуса контракта. Отсутствие информации об участниках, победителях или итоговой стоимости в текущем фрагменте не позволяет сделать выводы о наличии единственного поставщика.","Отмена процедуры может указывать на необходимость пересмотра условий закупки, изменения бюджета, отсутствия подходящих заявок или административных решений. Для финансового контроля важно установить причину отмены и убедиться, что она была законной.","Анализ ограничен предоставленными метаданными (заголовок, сумма, флаг). Отсутствует полный текст извещения, содержащий информацию о причинах отмены, дате публикации, количестве заявок или деталях предмета закупки. Факт отмены является флагом системы и требует верификации по официальным источникам."
purchase-34827360,34827360,Поставка сетевого фильтра Power Cube SPG6-B-3M Black,25000.0,it_and_telecom,,IT и телекоммуникации (поставка оборудования),0.95,,прозрачн,1,"В документе указана закупка на сумму 25 000 рублей у компании АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ"" с предметом поставки сетевого фильтра Power Cube SPG6-B-3M Black. Дата закупки указана как 2025 год.","Запрос на поставку конкретного модели оборудования (Power Cube) может указывать на возможность использования специфических требований заказчика или наличия у него предпочтительного источника, однако отсутствие фактов о единственном участнике в тексте требует проверки. Сумма закупки относительно невелика для корпоративной структуры.","Необходимо проверить наличие других участников торгов и обоснование выбора именно этой модели оборудования (Power Cube), чтобы исключить необоснованное ограничение конкуренции или завышение цены при наличии аналогов.","В предоставленных данных отсутствуют информация о количестве поставщиков, условиях контракта, истории закупок у данного контрагента и результатах анализа рынка. Факт отсутствия флагов аномалий в исходных данных не является подтверждением прозрачности процедуры."
